time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-04-09T16:54:01.962Z,59.8858,-152.223,87,1.1,ml,,,,0.34,ak,ak15708619,2017-04-09T16:59:13.413Z,"25km WNW of Anchor Point, Alaska",earthquake,,1.2,,,automatic,ak,ak
2017-04-09T16:42:46.223Z,61.187,-150.2812,58.8,2.1,ml,,,,0.6,ak,ak15708614,2017-04-09T16:52:31.986Z,"20km W of Anchorage, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-04-09T16:28:42.608Z,65.6433,-145.1929,0,2.2,ml,,,,0.69,ak,ak15708607,2017-04-09T16:43:59.687Z,"30km NW of Circle Hot Springs Station, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-04-09T16:11:37.950Z,38.3525,-118.8363,26.4,1.4,ml,5,114.67,0.283,,nn,nn00584702,2017-04-09T16:13:03.859Z,"26km SW of Hawthorne, Nevada",earthquake,,,,,automatic,nn,nn
2017-04-09T15:53:15.260Z,33.6095,-116.8676667,16.47,0.55,ml,22,70,0.02632,0.21,ci,ci37853368,2017-04-09T15:56:56.611Z,"16km S of Valle Vista, CA",earthquake,0.55,0.89,0.079,12,automatic,ci,ci
2017-04-09T15:44:39.780Z,33.2486667,-116.055,3.76,1.5,ml,44,78,0.1759,0.3,ci,ci37853360,2017-04-09T15:55:03.840Z,"11km WSW of Salton City, CA",earthquake,0.4,1.52,0.117,27,automatic,ci,ci
2017-04-09T15:42:36.140Z,38.8303337,-122.8468323,1.16,0.46,md,9,104,0.008322,0.01,nc,nc72786791,2017-04-09T17:07:01.399Z,"9km NW of The Geysers, California",earthquake,0.37,0.71,0.13,2,automatic,nc,nc
2017-04-09T15:25:59.834Z,63.1221,-150.1234,82.9,1.5,ml,,,,0.52,ak,ak15708374,2017-04-09T15:38:37.906Z,"66km WSW of Cantwell, Alaska",earthquake,,1.1,,,automatic,ak,ak
2017-04-09T15:24:58.360Z,34.0003333,-117.178,15.13,1.23,ml,39,91,0.053,0.23,ci,ci37853344,2017-04-09T15:28:45.927Z,"6km S of Redlands, CA",earthquake,0.39,0.69,0.171,27,automatic,ci,ci
2017-04-09T14:53:09.798Z,58.9445,-138.1033,0,3.4,ml,,,,1.01,ak,ak15708364,2017-04-09T15:03:11.716Z,"114km SE of Yakutat, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-04-09T14:32:45.920Z,-31.27,-72.7868,10,4.2,mb,,158,1.154,0.45,us,us10008g2g,2017-04-09T16:13:07.040Z,"159km WNW of Illapel, Chile",earthquake,4.5,1.9,0.372,2,reviewed,us,us
2017-04-09T14:10:37.100Z,38.8421669,-122.8266678,1.69,0.43,md,10,133,0.007759,0.01,nc,nc72786786,2017-04-09T16:42:02.355Z,"9km WNW of Cobb, California",earthquake,0.32,0.88,0.15,2,automatic,nc,nc
2017-04-09T13:57:20.460Z,38.8396683,-122.8463364,1.27,0.43,md,10,71,0.008541,0.01,nc,nc72786776,2017-04-09T16:14:02.316Z,"10km W of Cobb, California",earthquake,0.29,0.67,0.15,2,automatic,nc,nc
2017-04-09T13:29:20.135Z,61.957,-153.209,0,2.7,ml,,,,0.88,ak,ak15708348,2017-04-09T13:37:47.473Z,"165km N of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
